MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
16/04/2011,659,4,NSW,AJC,RAND,SOUTH PACIFIC CLASSIC,1400,100000,3-Y-O,O,Qlty,SOUTH PACIFIC CLASSIC,LUCHA LIBRE,LEVI'S CHOICE,KIRINATA
16/04/2011,707,4,QLD,BRC,DOOM,QUEENSLAND DAY STAKES,1350,125000,3-Y-O,O,SW,QUEENSLAND DAY STAKES,STEEL ZIP,SNIP 'N' DUCK,CELTIC DANCER
25/04/2011,285,4,NSW,GOSFORD RC,GOSF,GOSFORD GUINEAS,1200,125000,3-Y-O,O,SWP,GOSFORD GUINEAS,SINCERO,HAPPY PATRICK,CELTS
17/04/2011,701,4,WA,PINJARRA RC,PINJ,PINJARRA CLASSIC,1300,80000,3YO&Up,O,Qlty,PINJARRA STKS,HENRY DE HORSE,FOXY BOY,GINSBERG
23/04/2011,8,1,NSW,AJC,RAND,SYDNEY CUP,3200,400000,O,O,Hcp,SYDNEY CUP,STAND TO GAIN,OLDER THAN TIME,SOLID BILLING
23/04/2011,24,1,NSW,AJC,RAND,CHAMPAGNE STAKES,1600,300000,2-Y-O,O,SW,CHAMPAGNE STAKES,HELMET,PAIN IN THE GLASS,FAST AND SEXY
23/04/2011,104,1,NSW,AJC,RAND,ALL AGED STAKES,1400,300000,O,O,WFA,ALL AGED STAKES,HAY LIST,HINCHINBROOK,HEART OF DREAMS
23/04/2011,412,1,NSW,AJC,RAND,QUEEN ELIZABETH STAKES,2000,350000,O,O,WFA,AJC QUEEN ELIZABETH STAKES,MY KINGDOM OF FIFE,SACRED CHOICE,SYREON
23/04/2011,248,2,NSW,AJC,RAND,EMANCIPATION STAKES,1600,175000,3YO&Up,F&M,SWP,EMANCIPATION STAKES,SWORN TO SECRECY,SKY RUSH,SHANNARA
23/04/2011,240,3,VIC,MRC,CAUL,EASTER CUP,2000,125000,O,O,Hcp,VATC EASTER CUP,PADDY O'REILLY,FANJURA,LAUNAY
23/04/2011,266,3,NSW,AJC,RAND,FRANK PACKER PLATE,2000,125000,3-Y-O,O,SW,FRANK PACKER PLATE,SHOOTOFF,HAPPY TRAILS,MUIRFIELD
23/04/2011,526,3,VIC,MRC,CAUL,VICTORIA HANDICAP,1400,125000,O,O,Hcp,VICTORIA HANDICAP,RED COLOSSUS,BUDRIGUEZ,TIME MATTERS
23/04/2011,173,4,NSW,AJC,RAND,JAMES H B CARR STAKES,1400,100000,3-Y-O,F,SWP,J H B CARR STAKES,RED TRACER,FLOKKATI,POTIONS
23/04/2011,246,4,QLD,BRC,E FM,HINKLER HANDICAP,1200,75000,3YO&Up,O,Qlty,HINKLER HANDICAP,BORDER REBEL,LISTEN SON,CAPTAIN CLAYTON
23/04/2011,295,4,NSW,AJC,RAND,HALL MARK STAKES,1200,100000,3YO&Up,O,Qlty,HALL MARK STAKES,LADYS ANGEL,SAINTHOOD,TAGUS
23/04/2011,470,4,SA,OAKBANK RC,OAKB,OAKBANK STAKES,1100,80000,O,O,Qty,HILLS RAILWAY STAKES,CORNELIA MARIE,PLAY JUST FOR ME,ARINOS
23/04/2011,622,4,QLD,BRC,E FM,MEMBER'S HANDICAP,1600,75000,3YO&Up,O,Hcp,MEMBERS HANDICAP,SCENIC SHOT,OUR LUKAS,BUGSYTWOSHOES
23/04/2011,685,4,QLD,BRC,E FM,JUANMO STAKES,1200,100000,3YO&Up,F&M,Hcp,JUANMO STAKES,FUNTANTES,SWEEPSTAKING,BEETHOG
